session	playerNr	obsSocialInfo1	obsSocialInfo2	obsSocialInfo3	obsSocialInfo4	obsSocialInfo5	ants	bees	flamingos	cranes	crickets	ants_revised	bees_revised	flamingos_revised	cranes_revised	crickets_revised	IOS	conf1	conf2	conf3	conf4	conf5	conf6	conf7	conf8	conf9	conf10	conf11	indiv1	coll1	coll2	indiv2	indiv3	coll3	coll4	indiv4	age	gender	playerNr_R	obsSocialInfo1_R	obsSocialInfo2_R	obsSocialInfo3_R	obsSocialInfo4_R	obsSocialInfo5_R	ants_R	bees_R	flamingos_R	cranes_R	crickets_R	ants_revised_R	bees_revised_R	flamingos_revised_R	cranes_revised_R	crickets_revised_R	IOS_R	conf1_R	conf2_R	conf3_R	conf4_R	conf5_R	conf6_R	conf7_R	conf8_R	conf9_R	conf10_R	conf11_R	indiv1_R	coll1_R	coll2_R	indiv2_R	indiv3_R	coll3_R	coll4_R	indiv4_R	age_R	gender_R	playerNr_RR	obsSocialInfo1_RR	obsSocialInfo2_RR	obsSocialInfo3_RR	obsSocialInfo4_RR	obsSocialInfo5_RR	ants_RR	bees_RR	flamingos_RR	cranes_RR	crickets_RR	ants_revised_RR	bees_revised_RR	flamingos_revised_RR	cranes_revised_RR	crickets_revised_RR	IOS_RR	conf1_RR	conf2_RR	conf3_RR	conf4_RR	conf5_RR	conf6_RR	conf7_RR	conf8_RR	conf9_RR	conf10_RR	conf11_RR	indiv1_RR	coll1_RR	coll2_RR	indiv2_RR	indiv3_RR	coll3_RR	coll4_RR	indiv4_RR	age_RR	gender_RR
2	5	50	68	66	68	69	40	60	55	80	55	45	60	60	80	60	1	1	1	1	1	1	5	9	5	5	1	9	9	5	5	9	9	5	5	9	31	1	45	56	80	72	75	50	45	70	60	90	40	45	75	65	85	45	1	5	1	1	1	1	9	9	9	5	1	9	9	5	5	9	9	5	5	9	31	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	23	69	75	64	78	80	55	65	52	68	63	60	68	52	68	63	4	5	8	1	4	1	1	7	1	8	1	9	9	9	9	9	9	9	7	9	62	2	21	85	91	76	96	82	68	79	64	84	65	71	81	64	84	68	4	3	8	1	4	2	1	7	1	8	2	8	8	9	9	8	7	9	6	9	62	2	31	100	78	54	80	60	85	68	45	70	48	90	68	48	73	48	3	5	8	1	4	1	2	7	1	6	5	6	8	9	9	8	6	9	7	9	63	2
2	8	75	55	54	80	65	60	48	45	70	52	66	52	52	75	56	4	7	7	6	2	3	6	6	7	5	7	4	3	5	7	4	8	8	8	8	23	2	6	75	85	64	85	65	60	75	80	100	52	68	80	76	92	58	5	6	4	6	3	4	6	8	4	6	6	5	7	4	6	7	8	8	7	7	23	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	34	72	85	64	90	53	97	75	52	106	70	84	80	54	102	65	3	3	5	4	5	5	5	6	5	7	3	8	8	6	6	7	7	6	8	7	29	1	63	85	82	65	98	60	68	72	81	85	80	68	72	81	85	80	4	4	5	6	5	5	5	6	5	7	4	7	7	5	6	6	8	5	6	7	29	1	5	95	84	64	95	65	76	98	80	111	87	85	94	76	105	75	5	6	5	5	4	4	5	6	5	6	4	6	8	6	6	7	8	5	7	6	30	1
1	49	95	78	55	83	59	75	68	69	98	79	90	72	63	96	78	4	7	3	8	7	6	3	6	6	4	7	8	7	9	9	4	6	9	9	8	51	2	4	85	85	65	92	73	68	74	81	80	59	72	74	70	83	62	4	7	4	7	7	6	7	4	6	4	7	8	8	9	9	8	6	9	9	7	51	2	6	95	68	58	76	75	75	59	48	89	60	78	61	49	89	62	2	7	3	8	6	7	6	4	6	3	8	8	6	9	9	4	3	8	9	7	51	2
2	50	84	85	58	76	77	67	75	48	89	62	72	78	50	85	65	3	6	6	7	4	6	6	5	6	6	6	5	7	5	6	6	7	7	6	7	39	1	62	90	95	65	92	61	72	83	82	110	81	80	85	80	101	81	3	6	4	6	4	4	6	6	5	5	6	6	7	5	5	6	7	5	6	7	39	2	51	100	78	64	83	85	85	92	53	98	68	85	87	55	95	69	2	6	4	6	4	4	5	6	4	6	5	6	8	5	4	4	6	7	8	7	36	2
2	63	50	58	48	46	62	40	50	40	40	50	40	50	40	49	60	4	2	2	1	2	2	8	2	1	5	3	3	5	4	5	6	4	6	7	4	28	1	26	89	92	60	75	63	70	80	50	90	50	80	88	50	80	50	3	5	3	2	1	5	3	3	2	1	2	3	6	5	6	7	7	4	5	7	28	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	59	75	68	60	76	80	60	60	50	90	65	65	60	55	85	65	2	6	2	3	2	6	3	7	3	7	3	9	9	6	6	8	8	2	5	9	49	1	9	60	100	87	89	82	80	90	110	105	65	80	95	110	105	70	2	4	3	3	2	5	2	8	2	7	2	9	9	5	6	7	7	2	5	9	49	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	36	62	70	42	53	48	50	60	35	45	38	55	65	38	48	45	3	6	3	4	7	6	3	7	3	7	7	8	9	9	6	8	9	9	8	9	32	2	17	56	75	80	98	75	75	65	100	85	60	62	80	75	95	70	2	6	6	3	6	3	4	7	3	8	6	8	9	9	8	9	9	7	8	9	32	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	5	55	44	58	72	57	44	38	48	63	46	45	40	51	64	59	4	4	5	5	4	5	4	5	5	7	3	8	8	5	5	3	6	5	5	4	23	1	47	70	63	72	90	70	56	54	60	79	56	61	56	62	83	56	2	3	5	4	5	5	5	3	6	7	5	5	7	3	5	5	4	5	3	5	23	1	30	60	55	50	83	68	48	48	62	74	54	54	51	60	78	54	2	5	5	6	5	5	5	5	4	6	5	6	8	3	5	5	4	3	3	6	24	1
1	22	95	68	64	69	72	76	58	53	60	57	89	70	60	70	75	5	7	1	6	2	5	6	4	7	5	7	5	5	8	9	5	4	7	9	5	34	1	74	66	91	70	90	85	53	79	58	79	69	62	90	75	87	79	5	8	1	6	2	5	6	4	7	5	7	5	5	8	9	5	4	7	9	5	34	1	53	84	80	66	83	85	67	70	55	73	68	80	80	61	83	85	4	8	1	7	2	5	6	3	7	4	8	5	5	8	9	4	4	7	9	5	35	1
1	51	84	68	56	80	80	67	58	70	70	65	67	58	65	70	65	1	3	5	3	3	3	2	8	3	7	2	8	6	5	6	6	7	5	6	6	42	2	30	66	76	74	85	75	53	66	62	73	60	58	70	68	79	69	4	7	3	3	3	3	2	7	3	5	3	7	6	8	8	7	7	6	7	7	42	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	58	43	45	34	58	32	35	40	28	50	26	40	42	30	54	28	2	6	7	4	2	6	4	6	4	7	4	7	7	1	6	4	8	1	6	8	44	2	37	80	60	84	75	69	65	52	70	90	54	74	56	82	82	60	3	6	7	6	3	6	5	6	4	4	4	6	7	1	6	5	8	2	7	9	44	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	40	60	84	54	76	80	48	72	68	90	65	48	75	65	90	65	6	7	5	5	1	5	6	8	6	6	4	6	8	9	9	5	8	9	9	9	33	1	46	56	110	84	92	75	75	92	70	80	60	75	95	70	85	65	5	5	4	5	2	5	6	5	6	6	4	6	6	9	9	7	6	8	9	8	33	1	28	62	70	42	64	56	50	60	35	55	45	55	60	35	55	45	4	6	5	4	4	5	6	6	6	5	5	6	7	8	5	5	5	6	8	6	34	1
1	57	95	80	50	83	53	125	95	62	100	70	112	95	60	100	70	2	6	3	7	3	2	6	6	6	3	7	4	4	5	7	4	8	6	7	6	48	2	61	58	84	70	105	60	78	99	88	122	80	78	99	88	122	80	2	7	4	5	2	4	7	6	5	5	6	4	4	5	7	4	7	6	7	7	48	2	27	78	85	66	102	59	62	75	55	120	78	75	82	62	110	75	2	6	2	6	1	4	5	7	5	6	6	5	7	4	7	7	8	5	6	8	49	2
1	31	75	70	60	64	50	60	60	50	55	40	65	60	56	58	42	2	7	4	6	3	6	6	7	6	4	3	6	7	6	7	6	7	6	7	7	23	2	58	62	80	72	79	57	50	70	60	69	45	60	78	70	75	53	3	7	6	8	2	7	6	7	6	3	4	6	6	5	5	7	7	7	7	8	23	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	22	90	65	70	74	68	74	56	59	64	54	84	58	59	64	54	5	5	4	5	3	3	2	7	3	6	4	7	8	7	9	8	8	8	9	8	59	2	10	72	85	70	90	65	57	74	59	79	52	69	74	59	82	55	5	6	6	5	5	4	3	4	2	6	4	7	8	7	8	8	8	8	8	9	59	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	42	95	78	58	120	80	75	68	72	137	63	87	68	72	137	63	3	6	4	2	2	4	6	8	5	4	6	8	9	9	9	6	9	3	6	6	33	2	40	80	110	64	95	79	65	92	80	112	63	73	92	73	112	65	3	6	5	6	3	6	3	7	4	5	6	7	8	8	9	6	8	2	8	5	33	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	69	45	48	75	62	55	40	40	65	50	60	42	42	68	50	2	5	4	3	1	3	3	5	4	6	5	5	5	1	5	6	8	1	6	8	29	2	68	68	69	84	86	62	55	60	70	75	50	57	62	75	80	52	2	5	4	3	3	3	3	6	5	6	3	6	6	1	3	5	7	1	5	6	29	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	12	98	88	64	69	62	78	103	52	60	82	80	103	52	60	75	2	4	2	5	2	2	6	6	5	5	5	5	9	4	7	8	9	3	5	7	23	1	24	85	92	70	79	75	68	80	58	68	60	73	85	60	65	60	2	5	5	6	5	5	4	4	5	5	6	6	9	2	5	6	8	6	5	5	23	1	41	100	75	66	69	62	80	65	55	60	50	80	65	55	65	52	2	6	6	4	5	5	5	8	4	4	5	4	8	3	4	9	9	5	4	7	24	1
1	10	70	70	52	70	84	56	60	44	82	66	68	66	48	77	72	4	5	4	4	5	5	4	9	6	6	5	5	7	7	4	5	5	8	8	7	NA	NA	56	70	63	160	89	55	56	55	345	77	44	55	45	122	88	55	5	5	5	4	5	5	6	5	6	5	6	6	7	7	6	7	7	8	7	7	24	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	61	95	85	64	90	54	77	75	79	105	72	82	80	70	100	68	4	5	2	6	2	5	5	5	7	3	5	5	5	6	8	4	5	7	7	5	27	2	5	65	91	70	85	60	52	79	88	100	80	57	82	80	95	75	4	7	2	5	2	5	5	5	5	4	5	5	7	5	8	4	5	7	7	6	27	2	23	78	72	48	64	77	62	62	59	75	62	65	65	54	70	65	4	7	3	6	2	5	5	5	5	5	6	5	6	6	8	5	5	7	7	5	28	2
2	17	75	63	60	64	55	60	55	50	75	73	70	60	52	75	73	3	7	6	4	3	4	5	6	5	5	7	6	8	9	9	8	8	8	8	9	57	1	36	60	98	60	75	62	48	85	75	90	50	60	85	75	90	55	2	6	5	4	3	5	6	6	6	5	6	6	8	8	8	7	7	7	7	8	57	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	54	65	55	45	60	47	52	47	38	52	37	55	51	42	57	44	4	6	8	1	1	1	3	9	NA	9	1	9	9	5	9	8	9	5	9	9	28	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47	120	110	68	150	68	90	130	85	175	90	100	115	80	170	80	2	4	5	4	1	2	5	6	5	7	3	6	7	8	5	7	8	6	7	7	29	1
2	34	74	75	64	80	77	59	65	52	70	62	65	65	57	75	65	7	4	1	5	1	3	3	6	7	5	6	6	9	3	1	9	9	1	1	9	18	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	62	80	54	64	60	50	70	45	56	80	55	70	45	56	70	2	8	3	9	1	9	1	9	1	3	9	9	7	5	7	7	7	6	3	5	18	1
2	70	95	75	54	72	50	75	65	45	85	40	80	70	50	80	45	5	7	4	8	4	9	3	5	2	8	6	5	9	1	4	9	9	1	1	3	27	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	120	68	56	95	56	90	80	70	110	75	105	80	70	105	70	2	6	5	7	5	8	3	3	4	7	6	4	9	1	9	9	9	1	1	2	28	2
2	11	100	145	64	83	65	140	160	80	100	85	130	150	70	90	75	2	7	3	8	6	7	6	5	6	7	5	5	9	7	7	8	7	6	8	8	55	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	75	65	42	75	53	60	56	35	65	42	85	65	39	68	50	3	7	4	6	6	6	6	6	6	4	6	5	6	7	7	6	4	5	7	6	56	2
1	24	33	30	30	25	32	26	26	25	26	25	27	26	25	25	25	3	2	2	5	2	5	2	2	3	3	1	7	3	5	5	5	7	5	5	5	26	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	50	58	60	83	35	40	50	50	100	28	40	50	50	100	30	1	4	7	1	1	5	1	9	5	5	5	9	9	5	9	9	9	7	9	9	27	1
1	15	90	85	60	83	56	120	100	75	100	75	110	100	75	100	75	2	1	4	6	1	1	1	8	1	8	1	9	8	2	8	8	7	8	9	9	45	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35	95	85	66	80	68	75	75	55	95	90	75	75	55	95	80	1	2	5	3	1	1	1	9	1	9	1	9	9	5	9	9	7	8	9	9	46	1
1	3	56	58	60	64	69	45	50	50	56	55	45	50	50	60	60	4	5	4	3	3	3	2	8	2	8	2	8	7	5	5	8	8	5	5	8	40	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34	56	75	60	72	45	45	65	50	85	35	55	65	50	85	50	4	1	3	4	2	1	4	4	6	7	3	6	9	6	6	7	7	7	8	7	40	1
2	24	80	68	52	80	69	65	60	43	70	55	70	64	46	75	60	4	5	6	4	4	3	5	6	4	6	3	7	7	7	6	8	8	4	6	8	36	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46	75	85	60	75	69	60	75	50	65	55	65	75	55	70	60	3	6	8	4	6	5	2	5	3	8	4	7	7	7	7	8	7	6	6	8	36	1
2	51	80	70	60	64	53	65	60	50	75	70	70	60	50	70	65	1	3	5	2	1	3	2	9	2	8	2	9	8	2	7	8	8	2	5	8	34	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	80	58	48	80	75	65	50	60	70	60	70	50	55	70	60	2	3	5	5	1	3	2	9	2	8	3	9	7	2	8	7	7	2	5	8	35	1
1	55	62	70	52	80	50	50	60	65	70	40	60	65	60	75	45	6	7	7	2	5	4	7	7	2	8	6	8	8	8	5	6	8	3	7	8	47	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	80	80	60	75	56	65	70	75	65	45	75	72	70	70	50	5	7	7	2	2	5	4	7	2	8	4	8	8	7	8	8	8	4	8	8	48	2
2	68	80	80	60	80	75	65	70	50	69	60	82	70	58	75	70	3	6	5	6	4	5	4	5	6	4	6	5	6	7	5	6	4	8	8	5	27	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	80	70	56	68	53	65	60	70	80	70	69	65	64	72	65	4	6	3	5	4	5	4	5	5	6	4	5	7	6	5	7	6	7	6	7	28	2
1	53	40	40	54	74	58	32	35	45	64	46	40	38	52	70	54	3	7	2	5	1	3	9	3	9	4	8	4	6	4	7	7	8	1	6	6	36	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52	52	53	48	69	56	42	46	60	60	45	48	50	50	68	54	2	6	2	6	1	4	9	3	9	1	8	2	8	2	7	8	9	1	2	7	36	2
2	69	95	68	70	68	69	75	60	58	80	55	80	60	58	75	60	2	7	2	9	1	8	7	4	7	2	9	3	7	4	8	6	7	4	6	9	22	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	23	72	58	60	75	62	57	50	50	65	50	57	50	50	65	50	2	4	4	4	4	4	6	5	6	6	4	6	7	3	6	7	7	7	8	8	30	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	1	120	77	54	69	56	90	90	45	60	45	95	85	47	65	48	2	3	2	6	2	6	2	6	4	7	2	7	3	4	7	7	6	8	8	8	38	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	27	75	68	60	75	62	60	60	50	65	50	65	60	55	65	60	2	8	4	6	2	6	8	8	6	4	6	4	3	1	7	7	3	1	2	7	26	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	39	43	53	40	64	38	35	46	34	56	31	40	46	34	60	31	3	4	2	4	3	2	3	9	4	4	2	8	9	9	7	8	8	5	5	5	44	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	56	80	72	70	71	73	108	63	90	84	59	98	68	83	84	59	5	6	4	5	4	4	3	7	3	6	3	8	8	6	8	8	8	7	9	8	57	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	11	69	75	60	69	69	55	65	50	60	55	60	65	50	65	60	2	4	6	5	4	4	5	7	5	6	5	7	8	5	6	7	6	4	5	7	26	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	25	75	75	70	68	69	60	65	58	80	55	60	73	60	75	55	1	4	4	5	1	1	1	9	1	9	1	9	5	9	9	5	9	2	9	9	29	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	18	70	58	50	80	56	56	50	42	70	45	65	55	45	75	50	3	8	2	6	4	5	3	4	6	4	8	4	7	1	6	5	8	7	9	8	33	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	59	95	85	48	68	80	75	75	60	80	65	90	80	55	75	70	4	6	4	3	4	4	2	7	2	5	3	7	7	6	7	7	7	6	8	9	40	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	58	100	145	48	80	60	80	200	60	70	80	95	160	50	75	70	2	6	3	7	4	6	3	8	7	9	7	6	7	6	3	8	9	6	7	3	30	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	16	69	52	60	71	54	55	45	50	62	72	70	50	60	68	70	4	5	3	5	2	7	4	7	3	7	5	6	8	4	6	8	8	5	5	7	26	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	20	100	68	56	68	75	80	80	70	80	60	90	68	56	68	75	2	5	4	6	6	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	23	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
