session	playerNr	obsSocialInfo1	obsSocialInfo2	obsSocialInfo3	obsSocialInfo4	obsSocialInfo5	ants	bees	flamingos	cranes	crickets	ants_revised	bees_revised	flamingos_revised	cranes_revised	crickets_revised	IOS	conf1	conf2	conf3	conf4	conf5	conf6	conf7	conf8	conf9	conf10	conf11	indiv1	coll1	coll2	indiv2	indiv3	coll3	coll4	indiv4	age	gender	playerNr_R	obsSocialInfo1_R	obsSocialInfo2_R	obsSocialInfo3_R	obsSocialInfo4_R	obsSocialInfo5_R	ants_R	bees_R	flamingos_R	cranes_R	crickets_R	ants_revised_R	bees_revised_R	flamingos_revised_R	cranes_revised_R	crickets_revised_R	IOS_R	conf1_R	conf2_R	conf3_R	conf4_R	conf5_R	conf6_R	conf7_R	conf8_R	conf9_R	conf10_R	conf11_R	indiv1_R	coll1_R	coll2_R	indiv2_R	indiv3_R	coll3_R	coll4_R	indiv4_R	age_R	gender_R	playerNr_RR	obsSocialInfo1_RR	obsSocialInfo2_RR	obsSocialInfo3_RR	obsSocialInfo4_RR	obsSocialInfo5_RR	ants_RR	bees_RR	flamingos_RR	cranes_RR	crickets_RR	ants_revised_RR	bees_revised_RR	flamingos_revised_RR	cranes_revised_RR	crickets_revised_RR	IOS_RR	conf1_RR	conf2_RR	conf3_RR	conf4_RR	conf5_RR	conf6_RR	conf7_RR	conf8_RR	conf9_RR	conf10_RR	conf11_RR	indiv1_RR	coll1_RR	coll2_RR	indiv2_RR	indiv3_RR	coll3_RR	coll4_RR	indiv4_RR	age_RR	gender_RR
1	1	86	72	54	75	75	70	85	67	88	60	72	82	65	85	63	3	7	3	6	2	3	7	7	3	4	3	7	7	5	6	5	7	7	8	8	33	1	54	66	85	82	92	69	53	75	69	80	55	56	77	70	83	57	4	6	3	4	2	3	6	7	3	4	3	7	7	5	7	4	5	6	8	7	33	1	16	100	77	48	64	53	80	90	60	75	70	82	88	57	75	67	4	8	2	3	1	3	6	8	3	6	3	8	6	5	7	5	6	8	8	8	33	1
2	64	120	70	50	77	53	90	82	62	90	70	105	75	60	85	62	4	3	7	6	3	3	6	7	6	4	3	8	9	5	8	9	9	7	7	8	31	1	2	90	89	84	75	75	120	105	70	88	100	100	90	78	80	75	2	6	3	7	6	4	7	7	7	6	7	8	8	5	9	8	9	7	NA	7	31	1	17	80	68	66	67	66	64	80	55	79	88	75	74	58	72	76	4	7	3	6	3	2	6	7	7	3	8	8	7	9	9	4	7	7	7	8	31	1
2	6	62	65	70	83	73	49	56	58	71	59	67	62	67	75	73	2	5	5	6	2	3	3	6	3	6	3	6	6	9	9	5	4	4	9	5	32	1	8	68	79	74	81	65	54	68	62	71	52	63	75	65	76	55	2	4	4	5	3	4	4	6	4	7	4	7	7	8	8	3	5	7	9	8	32	1	9	69	90	51	64	66	55	78	64	75	53	60	80	60	75	57	2	5	4	5	2	2	6	7	3	7	4	7	5	9	9	2	6	1	9	9	33	1
2	37	84	80	70	70	56	67	70	58	82	75	76	85	58	82	68	4	4	3	2	1	2	1	8	1	8	2	7	8	9	8	6	8	9	7	8	34	1	60	80	88	82	79	70	64	76	69	92	57	74	88	75	81	57	3	3	4	5	2	8	1	2	3	6	2	7	7	8	9	7	6	5	4	8	34	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	54	65	72	58	71	77	52	63	73	83	62	58	67	70	80	66	3	6	3	6	4	3	6	5	4	6	6	4	5	7	7	5	6	8	8	6	NA	NA	76	52	45	50	60	34	41	39	42	52	27	46	41	47	55	31	3	4	6	4	5	5	4	7	3	7	3	7	9	8	8	8	8	7	8	8	33	2	43	100	75	56	65	60	87	89	47	77	48	91	80	50	70	52	2	3	4	3	5	4	5	8	3	6	3	8	8	7	7	8	7	7	7	7	33	2
1	60	100	77	48	83	60	80	90	60	100	80	85	85	58	102	78	3	6	5	4	4	4	5	6	5	6	4	6	6	7	7	5	6	6	7	4	25	1	66	75	100	72	102	75	100	120	60	120	100	85	110	65	115	85	4	6	5	5	4	5	6	6	6	5	4	6	6	8	8	7	8	8	8	7	25	1	44	72	75	56	68	53	96	88	70	80	70	80	80	65	76	64	4	6	5	6	6	4	6	6	5	6	4	6	6	6	7	7	7	7	7	6	26	1
1	48	95	85	64	110	68	75	100	80	125	90	80	100	75	120	85	2	5	4	3	2	5	3	7	3	6	3	8	8	7	7	8	7	6	6	8	35	1	59	68	100	72	85	75	90	120	90	100	60	80	120	85	100	65	2	3	4	3	2	3	3	7	3	7	3	7	8	5	7	8	7	5	4	8	35	1	14	75	85	60	80	69	60	75	50	70	55	70	80	50	75	60	2	3	5	4	2	4	4	7	3	7	4	8	8	7	7	8	8	6	6	8	36	1
1	4	100	85	60	68	62	80	75	50	80	50	80	75	50	80	50	1	6	8	6	2	1	2	7	2	7	6	7	5	5	6	7	6	7	6	7	31	2	39	80	98	70	75	57	65	86	87	90	45	65	86	80	90	45	1	3	7	6	9	7	8	1	7	5	6	2	2	6	7	1	1	8	9	9	31	2	15	50	68	52	68	62	40	58	65	80	49	40	58	65	80	49	1	5	4	7	8	8	5	3	5	5	4	7	5	5	8	3	9	9	9	9	31	2
2	67	72	63	66	75	62	58	55	55	65	50	58	55	55	65	50	2	7	6	5	1	5	1	8	2	6	3	6	6	9	9	6	8	7	9	8	24	1	50	72	76	84	98	69	58	66	70	85	55	58	66	70	85	55	2	6	6	5	1	4	1	6	2	6	3	6	7	9	9	7	7	5	8	8	24	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	65	89	88	55	76	60	70	76	69	90	80	80	80	64	85	73	4	5	5	4	4	3	3	6	2	7	2	7	8	9	9	5	6	9	9	9	53	2	73	56	85	64	81	57	75	75	80	96	75	65	80	74	90	72	4	7	5	5	5	3	1	7	3	8	5	7	8	9	9	6	8	9	9	9	53	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
